Product ID,Composition/information on ingredients,Hazards Identification,First Aid Measures,Accidental Release Measures,Handling and Storage,Exposure Controls/Personal Protection,Physical/Chemical Properties,Stability and Reactivity Data,Disposal Considerations,Fire Fighting Measures,Toxicological information,Ecological information,Disposal considerations,Transport information,Regulatory information,Other information
FORMALDEHYDE,,"Routes of Entry: Inhalation:YES  Skin:YES  Ingestion:YES Effects of Overexposure:MAY CAUSE SKIN,EYE,OR RESPIRATORY TRACT IRRITATION AND MAY CAUSE SENSITIZATION BY INHALATION OR SKIN CONTACT.SIGNS & SYMPTOMS ASSOCIATED WITH FORMALDEHYDE EXPOSURE WILL OCCUR ONLY IN EXCEPTIONAL CIRCU MSTANCES WHEN FORMALDEHYDE IS PRESENT IN FABRICS IN CONCENTRATIONS LESS THAN 0.1 PERCENT. ","First Aid:IN THE EVENT OF OVEREXPOSURE,REMOVE THE INDIVIDUAL FROM CONTACT WITH THE SOURCE. ",,,Ventilation:GENERAL VENTILATION Other Protective Equipment:EVALUATION OF PERSONNEL EXPOSURES BY A PROFESSIONAL INDUSTRIAL HYGIENIST IS RECOMMENDED. Supplemental Safety and Health ,,,"Waste Disposal Methods:LANDFILL DISPOSAL OF WASTE FABRIC MAY BE MADE IN ACCORDANCE WITH LOCAL GOVERNMENTAL REGULATIONS. Disclaimer (provided with this information by the compiling agencies): This information is formulated for use by elements of the Department of Defense.  The United States of America in no manner whatsoever, expressly or implied, warrants this information to be accurate and disclaims all liability for its use.  Any person utilizing this document should seek competent professional advice to verify and assume responsibility for the suitability of this information to their particular situation. ","Extinguishing Media:USE WATER,CARBON DIOXIDE,OR DRY CHEMICAL Fire Fighting Procedures:USE NORMAL FIREFIGHTING PROCEDURES,INCLUDING POSITIVE-PRESSURE SELF-CONTAINED BREATHING APPARATUS AND FULL FIREFIGHTING PROTECTION CLOTHING. ",,,,,,
CARBON DIOXIDE,,"Routes of Entry: Inhalation:YES  Skin:YES  Ingestion:YES Health Hazards Acute and Chronic:THE GREATEST PHYSIOLOGICAL EFFECT OF CARBON DIOXIDE IS THE RESPIRATORY CENTER.IT ALSO ACTS AS A STIMULANT AND DEPRESSANT ON THE CENTRAL NERVOUS SYSTEM.INCREASES IN HEART RATE AND BLOOD PRESSURE HAVE B EEN NOTED AT 7.6%,AND DYSPNEA,HEADACHE,DIZZINESS,AND SWEATING OCCUR IF EXPOSURE AT THAT LEVEL IS PROLONGED. Effects of Overexposure:GASEOUS CARBON DIOXIDE IS AN ASPHYXIANT.CONCENTRATIONS OF 10% OR MORE CAN PRODUCE UNCONSCIOUSNESS OR DEATH.SKIN OR MOUTH CONTACT W/SOLID CARBON DIOXIDE OR W/GAS OR LIQUID CARBON DIOXIDE DISCHARGED FRO M A CONTAINER MAY RESULT IN FROSTBITE.EYE CONTACT W/SOLID CO2 OR COMPRESSED CO2 SHOULD BE CONSIDERED AS A CORNEAL BURN. ","First Aid:INHALATION:MOVE VICTIM TO FRESH AIR.IF NOT BREATHING,GIVE ARTIFICIAL RESPIRATION,PREFERABLY MOUTH TO MOUTH.IF BREATHING IS DIFFICULT,GIVE OXYGEN.CALL A PHYSICIAN.CONTACT:TREAT FOR FROSTBITE.FROSTBITE  SYMPTOMS ARE:FLUSHED SKIN THAT TURNS WHITE OR GRAYISH YELLOW.BLISTERS MAY APPEAR.DO NOT RUB THE AREA.QUICKLY WARM BY IMMERSING IN TEPID WATER(102F-105F).CONSULT A PHYSICIAN. ",Spill Release Procedures:VENTILATE THE AREA.CARBON DIOXIDE CAN ACT AS A SIMPLE ASPHYXIANT BY DISPLACING AIR.PERSONNEL ENTERING THE AREA SHOULD WEAR POSITIVE PRESSURE SELF-CONTAINED BREATHING APPARATUS. ,"DRY,WELL VENTILATED AREAS AWAY FROM SOURCES OF HEAT. Other Precautions:THE CONTAINER SPECIFICATIONS OF REGULATORY AUTHORITIES REQUIRE,THAT THE MATERIALS USED FOR LIQUEFIED CARBON DIOXIDE CONTAINERS AND PIPING MUST MEET CERTAIN CHEMICAL AND PHYSICIAL REQUIREMENTS.CONTAINE RS MUST PASS HYDROSTATIC PRESSURE TESTS ",Respiratory Protection:APPROVED RESPIRATORY EQUIPMENT MUST BE WORN WHEN AIRBORNE CONCENTRATIONS EXCEED SAFE LIMITS. Protective Gloves:RECOMMENDED Eye Protection:SAFETY GLASSES Other Protective Equipment:NO SPECIAL EQUIPMENT IS REQUIRED.WEAR GLOVES FOR HANDLING CYLINDERS OR DRY ICE OR WORKING AROUND BULK CONTAINERS. Supplemental Safety and Health ,"Vapor Pres:21.1C,70F Solubility in Water:@1ATM,25C Appearance and Odor:COLORLESS,ODORLESS,SLIGHTLY ACID GAS. ","Stability Indicator/Materials to Avoid:YES REACTIVE METALS(SUCH AS ALKALI METALS,MAGNESIUM,ALUMINUM,TITANIUM,OR ZIRCONIUM.) Stability Condition to Avoid:STABLE UNDER ORDINARY CONDITIONS OF USE AND STORAGE. Hazardous Decomposition Products:CARBON MONOXIDE AND OXYGEN WHEN HEATED ABOVE 1700C. Conditions to Avoid Polymerization:IT DOES CAUSE VIOLENT POLYMERIZATION OF ACRYLALDEHYDE OR ETHYLENEIMINE. Disclaimer (provided with this information by the compiling agencies): This information is formulated for use by elements of the Department of Defense.  The United States of America in no manner whatsoever, expressly or implied, warrants this information to be accurate and disclaims all liability for its use.  Any person utilizing this document should seek competent professional advice to verify and assume responsibility for the suitability of this information to their particular situation. ",,"Extinguishing Media:EXTINGUISH SURROUNDING FIRE AND KEEP CYLINDERS COOL USING A WATER SPRAY APPLIED FROM THE MAXIMUM POSSIBLE DISTANCE. Fire Fighting Procedures:CARBON DIOXIDE IS NONFLAMMABLE AND AS SUCH DOES NOT CREATE A FIRE HAZARD.HOWEVER,CYLINDERS THAT ARE EXPOSED TO FIRE MAY RUPTURE WITH VIOLENT FORCE. Unusual Fire/Explosion Hazard:AN EXPLOSION CAN OCCUR WHEN CARBON DIOXIDE CONTACTS MIXTURE OF SODIUM PEROXIDE WITH ALUMINUM OR MAGNESIUM. ",,,,,,
PROPYLENE OXIDE,,"Effects of Overexposure:HDACHE, DIZZ, NAUSEA, VOMIT, LOSS OF CONSCIOUSNESS. LIQ IRRIT EYE, MAY CAUSE SKIN BURNS. ","First Aid:INH: REMOVE TO FRESH AIR, GIVE ARTIF RESP. IF BRTHNG STOPPED, GIVE OXYGEN. CALL MD. FLUSH SKIN/EYE CNTCT W/PLENTY OF WATER. GET MD FOR EYES. REMOVE CONTAM CLOTHING/SHOES. WASH UNDERLYING SKIN. ",Spill Release Procedures:FLUSH AWAY SPILLED MATL W/LG VOLUMES OF WATER. ,HARMFUL. LIQ MAY CAUSE EYE/SKIN IRRIT. ,"Respiratory Protection:AIR-SUPP MASK FOR CONC ABOVE 2% BY VOLUME Ventilation:LOCAL EXH REC, MECH ACCEPTABLE Protective Gloves:PLASTIC Eye Protection:VAPOR-PROOF GOGGLES Supplemental Safety and Health ","HCC:F2 Boiling Pt:B.P. Text:93.7F Vapor Pres:2 Vapor Density:2.0 Spec Gravity:0.8304 Evaporation Rate & Reference:BUTYL ACET = 1, 34 Solubility in Water:40.5 Appearance and Odor:WATER-WHITE LIQ, NONRESIDUAL ODOR Percent Volatiles by Volume:100 ","Stability Indicator/Materials to Avoid:YES ALKALIES, ACIDS Stability Condition to Avoid:SPARKS, FLAMES Hazardous Decomposition Products:NONE Conditions to Avoid Polymerization:CONTAM W/ALKALIES, AQUEOUS ACIDS, AMINES, HI TEMPS ","Waste Disposal Methods:INCINERATE IN FURNACE Disclaimer (provided with this information by the compiling agencies): This information is formulated for use by elements of the Department of Defense.  The United States of America in no manner whatsoever, expressly or implied, warrants this information to be accurate and disclaims all liability for its use.  Any person utilizing this document should seek competent professional advice to verify and assume responsibility for the suitability of this information to their particular situation. ","Flash Point:<0F Lower Limits:2.1 Upper Limits:21.5 Extinguishing Media:CARBON DIOXIDE, DRY CHEM, ALCOHOL OR POLYMER FOAM Fire Fighting Procedures:NONE Unusual Fire/Explosion Hazard:NONE ",,,,,,
PETROLEUM DISTILLATE,,"Effects of Overexposure:SEVERE EYE IRRITATION,DRYING OF SKIN.EXCESSIVE INHAL MAY CAUSE HEADACHE,DIZZINESS,VOMIT,COMA. ","First Aid:EYE:FLUSH W/WATER. SKIN:FLUSH W/SOAP & WATER, INHAL:REMOVE TO FRESH AIR. INGEST:DO NOT INDUCE VOMIT.CALL DR. ","Spill Release Procedures:ELIMINATE IGNITION SOURCE,STOP SPILL AT SOURCE,CONTAIN SPILL BY DIKE,ETC,PUMP INTO SALVAGE TANK. ",FLAME.USE ONLY WITH ADEQUATE VENTILATION.KEEP CONTAINER CLOSED.AVOID CONTACT W/EYES & PROLONGED CONTACT W/SKIN. Other Precautions:WASH AFTER HANDLING. ,Respiratory Protection:SELF-CONTAINED BREATHING APPARATUS FOR CONCENTRATIONS ABOVE TLV LMT. Ventilation:LOCAL EXHAUST AS REQUIRED TO MAINTAIN LEVELS BELOW EST.TLV. Protective Gloves:RUBBER Eye Protection:SAFETY GLASSES Supplemental Safety and Health ,"HCC:F4 Boiling Pt:B.P. Text:300F Vapor Pres:2.0 Vapor Density:4.9. Spec Gravity:0.78 Evaporation Rate & Reference:<1.0,ETHER Solubility in Water:NEGLIGIBLE Percent Volatiles by Volume:100. ",Stability Indicator/Materials to Avoid:YES STRONG OXIDIZING AGENTS ,"Waste Disposal Methods:LIQUID INCINERATION UNDER APPROVED CONTROLLED PROCEDURES. Disclaimer (provided with this information by the compiling agencies): This information is formulated for use by elements of the Department of Defense.  The United States of America in no manner whatsoever, expressly or implied, warrants this information to be accurate and disclaims all liability for its use.  Any person utilizing this document should seek competent professional advice to verify and assume responsibility for the suitability of this information to their particular situation. ","Flash Point:100F CC. Lower Limits:1.0 Upper Limits:6.0. Extinguishing Media:CO*2,FOAM,DRY CHEM. Fire Fighting Procedures:NONE Unusual Fire/Explosion Hazard:FLASHBACK ALONG VAPOR TRAIL MAY OCCUR.VAPOR MAY EXPLODE IF IGNITED IN AN ENCLOSED AREA. ",,,,,,
ETHENE,,"Effects of Overexposure:ASPHYXIANT,DROWSINESS,DIZZINESS & UNCONSCIOUSNESS.OVEREXPOSURE-HEADACHE,MUSCULAR WEAKNESS. ","First Aid:GIVE FRESH AIR OR ARTIFICIAL RESPIRAION IF BREATHING HAS STOPPED, & CALL A DOCTOR.REMOVE VICTIM TO FRESH AIR. ",Spill Release Procedures:GAS LEAK: KEEP CONCENTRATION OF GAS BELOW THE EXPLOSIVE RANGE BY FORCED VENTILATION. REMOVE THE TANK OR CYLINDER TO AN OPEN AREA.LEAVE TO BLEED OFF IN THE ATMOSPHERE.ATTEMPT TO CAP THE VALVE OUTLET &	RETURN TANK. ,"BEFORE USE. STORE & USE CYLINDERS IN WELL VENTILATED AREAS AWAY FROM HEAT &ALL SOURCES OF IGNITION SUCH AS FLAMES,SPK Other Precautions:DO NOT USE ETHYLENE AROUND SPARKING MOTORS OR NON-EXPL.PROOF EQUIP.PROTECT CONTAINERS AGAINST PHYSICAL DAMAGE.DO.NOT STORE CYLS W/CYLS CONTAINING O*2,CL*2,OXIDIZERS OR FLAMM.MATLS.TEMP <125F ",Respiratory Protection:SELF-CONTAINED BREATHING APPARATUS. Ventilation:LOCAL EXHAUST IS RECOMMENDED. Protective Gloves:RUBBER Eye Protection:SAFETY GOGGLES. Other Protective Equipment:ORGANIC VAPOR CANISTER OR AIR-SUPPLIED MASK. Supplemental Safety and Health ITEM COMPOSITION IS IN PERCNET BY VOLUME.SPECIAL FIRE FIGHTING PROCEDURES (CONTD): IF BURNING CYLINDER IS MOUNTED ON ANESTHETIC MACHINE OR TRUCK MOVE CYLINDER TO SAFE PLACE. ,"HCC:G2 Boiling Pt:B.P. Text:-154.66F Vapor Pres:15. Vapor Density:1.0 Spec Gravity:0.978 Appearance and Odor:COLORLESS GAS,SWEET ODOR & TASTE. Percent Volatiles by Volume:100 ","Stability Indicator/Materials to Avoid:YES EXPLOSIVE,POISONS,RADIOACTIVE SUBSTANCE,OR ORGANIC PEROXS. ","Waste Disposal Methods:FIT A PIPELINE INTO THE FURNACE OR INTO THE PIT & BURN WITH CARE. Disclaimer (provided with this information by the compiling agencies): This information is formulated for use by elements of the Department of Defense.  The United States of America in no manner whatsoever, expressly or implied, warrants this information to be accurate and disclaims all liability for its use.  Any person utilizing this document should seek competent professional advice to verify and assume responsibility for the suitability of this information to their particular situation. ","Flash Point:0F Autoignition Temp:Autoignition Temp Text:1009F Lower Limits:3.1 Upper Limits:32.0 Extinguishing Media:STOP FLOW OF GAS IF POSSIBLE Fire Fighting Procedures:WEAR SELF-CONTAINED BREATHING APPARATUS,COOL CONTAINER W/WAT Unusual Fire/Explosion Hazard:NORMALLY STABLE,BUT WILL NOT DETONATE SPONTANEOUS,EXPLOSIVE IN SUNLIGHT WITH CHLORINE,FLASHBACK. ",,,,,,
N-BUTYL ALCOHOL,,"Effects of Overexposure:IRRITANT TO EYES & SKIN,ANESTHETIC. ","First Aid:REMOVE VICTIM FROM CONTAMINATED A4EA,IF IN CONTACT WITH SKIN OR EYES,FLUSH W/WATER. ","Spill Release Procedures:REMOVE LEAKING PACKAGES TO SAFE AREA,AWAY FROM FIRE OR FLAME,AVOID BREATHING CONCENTRATED VAPORS. ",WHERE TEMPS MAY EXCEED 120F. Other Precautions:AVOID PROLONGED OR REPEATED BREATHING OF CONCENTRATED VAPORS. ,Respiratory Protection:SELF-CONTAINED BREATHING APPARATUS. Ventilation:MECHANICAL IS RECOMMENDED Protective Gloves:RUBBER Eye Protection:SAFETY GLASSES Other Protective Equipment:REMOVE IGNITON SOURCES. Supplemental Safety and Health ,"HCC:F4 Boiling Pt:B.P. Text:244F Spec Gravity:0.8109 Solubility in Water:7.7 % Appearance and Odor:LIQUID,ALCOHOL ODOR Percent Volatiles by Volume:100. ","Stability Indicator/Materials to Avoid:YES STRONG OXIDIZERS,CORROSIVES Hazardous Decomposition Products:CO*2,CO,INCOMPLETELY BURNED CARBON ","Waste Disposal Methods:DO NOT INCINERATE CANS:BURY IN AN APPROVED LANDFILL Disclaimer (provided with this information by the compiling agencies): This information is formulated for use by elements of the Department of Defense.  The United States of America in no manner whatsoever, expressly or implied, warrants this information to be accurate and disclaims all liability for its use.  Any person utilizing this document should seek competent professional advice to verify and assume responsibility for the suitability of this information to their particular situation. ","Flash Point:95F Extinguishing Media:WATER,DRY CHEMICAL,CO*2 ",,,,,,
SULFURIC ACID,,"Effects of Overexposure:CONJUNCTIVITIS,CORNEAL NECROSIS,DERMATITI SKIN BURNS,ULCERATION,IRRIT OF NOSE,THROAT,EDEMA,ANURIA. ","First Aid:ADEQUATE VENTILATION.IRRIGATE EYES W/WATER.WASH CONTAMINATED AREA OF BODY W/SOAP&WATER.STOMACH WASH,IF SWALLOWED.OXYGEN,WITH USE OF INTERMITTENT POSITIVE-PRESSURE BREATHING APPARATUS:5 % SOLN OF SODIU M BICARBONATE AS AEROSOL MAY BE USED. ","Spill Release Procedures:VENTILATE ROOM.COVER WITH SODIUM CARBONATE OR AN EQUAL MIXTURE OF SODA ASH AND SLAKED LIME.AFTER MIXING,ADD WAT IF NECESSARY TO FORM A SLURRY. ","DAMAGE & PREVENT CONTACTS WITH WATER.SEPARATE FROM CARBIDES,CHLORATES FULMINATES,NITRATES,PICRATES,POWDERED METALS Other Precautions:SEPARATE FROM COMBUSTIBLE MATERIALS.WEAR RUBBER GLOVES,CHEMICAL GOGGLES,RUBBER BOOTS & CHEMICAL CARTRIDGE RESPIRATOR. ",Respiratory Protection:SELF-CONTAINED BREATHING APPARATUS IS TLV IS EXCEEDED Ventilation:LOCAL EXHAUST IS RECOMMENDED Protective Gloves:RUBBER Eye Protection:SAFETY GOGGLES. Other Protective Equipment:ADEQUATE PROTECTION AGAINST CONTACT SHOULD BE PROVIDED Supplemental Safety and Health ,"HCC:C2 Boiling Pt:B.P. Text:235F Vapor Pres:60 Spec Gravity:1.280 Solubility in Water:COMPLETE Appearance and Odor:COLORLESS LIQUID,SULFURIC ACID ODOR. ","Stability Indicator/Materials to Avoid:YES CHLORATES,METAL POWDERS,SULPHITES,NITRATES,CARBIDES,COMBUSTS Hazardous Decomposition Products:SULFUR COMPDS,H*2 GAS IN CONTACT WITH MAY METALS IS EVOLVED ","Waste Disposal Methods:ADD SLOWLY TO SODA ASH & SLAKED LIME BY STIRRING.DISCHARGE THE SOLUTION WITH LARGE AMT OF WATER INTO A SINK LINED WITH PROTECTIVE MATTING & FILLED WITH CHIPPED MARBLE. Disclaimer (provided with this information by the compiling agencies): This information is formulated for use by elements of the Department of Defense.  The United States of America in no manner whatsoever, expressly or implied, warrants this information to be accurate and disclaims all liability for its use.  Any person utilizing this document should seek competent professional advice to verify and assume responsibility for the suitability of this information to their particular situation. ","Extinguishing Media:DRY CHEMICAL Fire Fighting Procedures:USE SUITABLE DRY CHEMICAL,DO NOT APPLY H*2O DIRECTLY TO ACID Unusual Fire/Explosion Hazard:AVOID CONTACT WITH METALLIC SULPHIDES ",,,,,,
PARAFORMALDEHYDE,,"Effects of Overexposure:INGEST-VOMIT.INHAL:IRRIT RESPIR TRACT.SKIN:IRRIT,TANNING EFFCT,DRYING.EYES-IRRIT.POSSIBL CARCINOGEN. ","First Aid:EYE:FLUSH W/WATER FOR 15 MIN.SEE MD.SKIN:REMOVE CONTAMINATED CLOTHS,WASH SKIN W/SOAP & WATER.INGEST:IF VOMITING HAS NOT OCCURRED,GIVE 2 GLASS WATER & INDUCE VOMITING CONTACT PHYSICIAN AT ONCE. ",Spill Release Procedures:SWEEP OR VACUUM SPILL.VENTILATE CONTIMINATED AREAS.WASH WITH MINIMUM QUANTITY WATER FOLLOWED BY WASH WITH DILUTED AMMONIA SOLN TO ELIMATE VAPORS.AVOID RUN-OFF INTO STORM SEWERS & DITCHES WHICH LEAD TO  NATURAL WATERWAYS.ADVISE AUTHORITES OFSPILL. ,"VENTILATION AWAY FORM FLAMMABLES,COMBUSTIBLES,ACIDS,OXIDIZERS. ","Respiratory Protection:NIOSH APPVD ORGANIC CART OR CANISTER,OTHERWISE SELF CONT BREATH GEAR Ventilation:PER MFR LOCAL EXHAUST PREFERRED.GEN MECHANICAL ACCEPTABLE. Protective Gloves:RUBBER/NEOPRENE Eye Protection:SAFETY/CHEM GOGGLES Other Protective Equipment:RESPIR FILTER WHEN HANDL POWDER.EYE BATH & SAFETY SHOWER. Supplemental Safety and Health MFR MSDS DATED 11/79.IN FORMULA THE ""N"" REFERS TO A REPETITION OF THE MONOMER TO MAKE A PLYMER & NOT TO NITROGEN.VAPOR PRESS @30C.DENSITY=1.46 GM/ML. ",HCC:F8 Boiling Pt:B.P. Text:150C-SUBLIM Vapor Pres:1 Spec Gravity:SUPDTA Solubility in Water:PARTIAL Appearance and Odor:WHITE FLAKY SOLID OR PWDR.PUNGNT FORMALDEHYDE ODOR ,"Stability Indicator/Materials to Avoid:YES CAUSTIC,ALKALIES,ISOCYANATES,ANHYDRIDES,OXIDES,INORGAN ACIDS Stability Condition to Avoid:HIGH TEMP LIBERATES FORMALDEHYDE GAS Hazardous Decomposition Products:FORMALDEHYDE VAPORS,WHICH IRRITATE & CO*2 ","Waste Disposal Methods:MANUFACTURER RECOMMENDS CHEMICAL INCINERATOR OR LANDFILL. Disclaimer (provided with this information by the compiling agencies): This information is formulated for use by elements of the Department of Defense.  The United States of America in no manner whatsoever, expressly or implied, warrants this information to be accurate and disclaims all liability for its use.  Any person utilizing this document should seek competent professional advice to verify and assume responsibility for the suitability of this information to their particular situation. ","Flash Point:158F,TCC Lower Limits:7.0 Upper Limits:73.0 Extinguishing Media:CO*2, FOAM, DRY CHEM & H*2O FOG. Fire Fighting Procedures:WEAR SELF CONTAINED BREATHING GEAR FOR INDOOR FIRES. Unusual Fire/Explosion Hazard:INERT N*2 RECOMM FOR PNEUMATIC CONVEYING.USE OF AIR AS MOTIVE DEVICE MAY CAUSE DUST EXPLOSIONS. ",,,,,,
SILICON,,Effects of Overexposure:SILICON METAL IS OF LOW TOXICITY IN LUMP FORM & NO RESIDUAL INJURY IS EXPECTED.DUST IS IRRITATING. ,First Aid:INH:REMOVE FROM DUST AREA TO FRESH AIR;SKIN:NO HAZARD ASSOCIATED WITH SKIN CONTACT;EYE:FLUSH WITH WATER TO ENSURE NO PARTICLES REMAIN IN THE EYE. ,Spill Release Procedures:FINE MATERIAL SHOULD BE SWEPT UP OR VACUUMED.AVOID USING COMPRESSED AIR TO MANEUVER SPILLS OR LEAKS OF FINE MATERIAL.NO PROBLEMS ASSOCIATED WITH SPILLS OR LEAKS OF LUMP MATERIAL.F ,,Respiratory Protection:DUST RESPIRATOR. Ventilation:RECOMMENDED FOR DUSTY OPERATIONS. Protective Gloves:RECOMMENDED. Eye Protection:RECOMMENDED. Other Protective Equipment:SUBJECT TO SAFETY RULES. Supplemental Safety and Health MSDS UNDATED. ,HCC:N1 Spec Gravity:2.3 Solubility in Water:INSOLUBLE Appearance and Odor:DARK GREY POWDER(SOMETIMES WITH A BROWN CAST) ,Stability Indicator/Materials to Avoid:YES ACIDS & STRONG BASES. Stability Condition to Avoid:NONE Hazardous Decomposition Products:NONE ,"Waste Disposal Methods:SANITARY LANDFILL. Disclaimer (provided with this information by the compiling agencies): This information is formulated for use by elements of the Department of Defense.  The United States of America in no manner whatsoever, expressly or implied, warrants this information to be accurate and disclaims all liability for its use.  Any person utilizing this document should seek competent professional advice to verify and assume responsibility for the suitability of this information to their particular situation. ","Extinguishing Media:CLASS D FIRE,USE DRY CHEMICAL,DRY SAND, OR CO*2. Fire Fighting Procedures:FIRE MAY BE ISOLATED AND ALLOWED TO BURN ITSELF OUT. Unusual Fire/Explosion Hazard:SILICON IS CLASSIFIED AS ACTIVE.DUST CAN BE READILLY IGNITED,PROPAGATE FLAME & GENERATE PRESSURE. ",,,,,,
TOLUENE,,"Effects of Overexposure:VAPORS MAY CAUSE DROWSINESS, HEADACHE, DIZZINESS AND IRRITATION OF EYES, NOSE AND THROAT ","First Aid:REMOVE TO FRESH AIR, FLUSH EYES WITH LOTS OF WATER, CONSULT PHYSICIAN. ","Spill Release Procedures:REMOVE ALL SOURCES OF IGNITION, WEAR APPROVED RESPIRATOR, CONTAIN SPILL WITH INERT SSTANCE (SAND, DIRT), PUT MIXTURE IN CONTAINERS FOR DISPOSAL. KEEP SPILL T OF SEWERS AND OPEN BODIES OF WATER. ",FROM CHILDREN. ,"Respiratory Protection:MESA/NIOSH APPROVED RESPIRATOR WHERE VAPOR CONCENTRATES. Ventilation:EXPLOSION-PROOF EXHAUST VENTILATION AT POINT OF RELEASE Supplemental Safety and Health PARK PLACE EAST  CARLSTADT, NJ 07072 ",Boiling Pt:B.P. Text:230F Vapor Density:>AIR Evaporation Rate & Reference:<1  ETHER=1 Percent Volatiles by Volume:100 ,Stability Indicator/Materials to Avoid:YES Stability Condition to Avoid:FLAME ,"Waste Disposal Methods:LAND FILL--ACCORDING TO CURRENT LOCAL, STATE AND FEDERAL REGULATIONS. Disclaimer (provided with this information by the compiling agencies): This information is formulated for use by elements of the Department of Defense.  The United States of America in no manner whatsoever, expressly or implied, warrants this information to be accurate and disclaims all liability for its use.  Any person utilizing this document should seek competent professional advice to verify and assume responsibility for the suitability of this information to their particular situation. ","Flash Point:41F T.C.C. Lower Limits:1.2 Extinguishing Media:SAND, FOAM, CO2 Fire Fighting Procedures:DRY CHEMICALS, FOAM Unusual Fire/Explosion Hazard:NONE ",,,,,,
